,Name,Address,Restaurant,Lat,Longitude,Coordinates
0,Boba Guys,"11 Waverly Pl New York, NY 10002",,40.7301485,-73.9940771,POINT (-73.9940771 40.7301485)
1,Bubble Tea & Crepes,"251 5th Ave, New York, NY 10016",,40.7446427,-73.9868043,POINT (-73.9868043 40.7446427)
2,Bubbly Tea,"55B Bayard St New York, NY 10013",,40.7152074,-73.99782019999999,POINT (-73.99782019999999 40.7152074)
3,Cafe East,"2920 Broadway, New York, NY 10027",,40.807001,-73.9640299,POINT (-73.9640299 40.807001)
4,Coco Bubble Tea,"129 E 45th St New York, NY 10017",,40.7533859,-73.97428479999999,POINT (-73.97428479999999 40.7533859)
5,Coco Bubble Tea,"1384 Broadway, New York, NY 10018",,40.75255200000001,-73.98700699999999,POINT (-73.98700699999999 40.75255200000001)
6,Coco Bubble Tea,"33 St Mark's Pl New York, NY 10003",,40.729047,-73.98809,POINT (-73.98809 40.729047)
7,Coco Bubble Tea,"38 Lexington Ave New York, NY 10010",,40.7401502,-73.9845321,POINT (-73.9845321 40.7401502)
8,Coco Bubble Tea,"79 Division St New York, NY 10002",,40.71410059999999,-73.9938189,POINT (-73.99381889999999 40.71410059999999)
9,Coco Bubble Tea,"118 W 72nd St New York, NY 10023",,40.7774525,-73.97963949999999,POINT (-73.97963949999999 40.7774525)
10,Culture Tea Bar,"3111 Broadway, New York, NY 10027",,40.812969,-73.9607247,POINT (-73.9607247 40.812969)
11,Gong Cha,"12 W 32nd St New York, NY 10001",,40.7473816,-73.9865458,POINT (-73.9865458 40.7473816)
12,Gong Cha,"209 E 14th St New York, NY 10003",,40.73319679999999,-73.9862579,POINT (-73.9862579 40.73319679999999)
13,Gong Cha,"75 W 38th St, New York, NY 10018",,40.7523195,-73.9856369,POINT (-73.9856369 40.7523195)
14,Gong Cha,"1 Catherine St New York, NY 10038",,40.7139499,-73.9974407,POINT (-73.9974407 40.7139499)
15,Happy Tea Time,"98 Walker St New York, NY 10013",,40.7178215,-74.0005182,POINT (-74.0005182 40.7178215)
